fpl_code,team,player,pos,cost,1,2,3,4,5,6,7,8,9,10,11,12,total_pts,ppm
487053,TOT,Udogie,D,4.0,3.89,2.01,2.95,5.41,4.08,5.78,3.08,5.32,2.94,4.69,3.0,4.22,47.37,11.84
153682,FUL,Wilson,M,3.0,4.08,7.75,3.45,6.08,3.58,3.01,3.1,2.74,2.88,3.36,3.01,4.08,47.13,15.71
201666,NEW,Barnes,M,4.0,3.57,3.07,3.01,5.27,4.75,4.65,2.68,4.92,2.61,4.98,2.64,4.91,47.06,11.77
216051,MUN,Dalot,D,3.5,2.91,7.01,4.87,5.46,3.07,3.06,4.79,2.2,3.4,3.3,3.09,3.86,47.02,13.43
484420,SUN,E.Le Fée,M,2.5,4.37,6.05,3.84,4.98,3.54,3.39,3.53,3.81,3.27,3.67,3.18,3.32,46.96,18.78
215413,EVE,Dewsbury-Hall,M,3.0,3.44,6.45,3.52,5.74,3.16,3.59,3.41,3.15,3.78,3.99,3.35,3.38,46.96,15.65
457569,BOU,Petrović,G,3.0,2.78,6.49,3.21,5.63,3.54,3.82,4.04,3.28,4.07,2.81,3.25,3.95,46.88,15.63
444765,BRE,Van den Berg,D,2.5,3.63,7.4,4.79,5.93,3.29,3.76,2.74,3.56,2.5,2.87,3.25,2.91,46.64,18.65
244042,FUL,Muniz,F,3.0,3.26,6.76,3.06,6.18,3.79,3.21,3.22,2.82,3.01,3.74,3.01,4.39,46.47,15.49
502697,EVE,Alcaraz,M,2.5,3.43,6.34,3.44,5.76,3.02,3.76,3.34,2.9,3.75,3.9,3.42,3.27,46.31,18.52
509291,WOL,André,M,2.5,3.63,5.53,3.7,5.01,3.78,3.81,3.59,3.93,3.7,3.19,3.14,3.3,46.31,18.52
222683,BOU,Kluivert,M,4.0,2.76,6.7,3.73,6.03,3.49,3.57,3.53,3.25,3.48,2.97,3.11,3.59,46.21,11.55
477580,BOU,Zabarnyi,D,3.0,2.2,6.96,3.2,5.71,3.4,3.91,3.88,3.04,3.96,2.31,3.11,4.14,45.82,15.27
487676,SUN,Hume,D,2.5,4.5,7.4,3.46,4.67,3.38,3.19,3.05,4.1,2.17,4.22,2.67,2.99,45.8,18.32
149065,WOL,José Sá,G,2.5,3.12,5.21,4.11,4.4,4.08,2.9,3.51,3.98,4.47,3.28,2.77,3.52,45.34,18.14
200720,BRE,Kelleher,G,3.0,3.06,5.88,4.09,5.31,3.43,3.81,3.3,3.38,3.18,3.14,3.44,3.16,45.19,15.06
243526,LEE,Gudmundsson,D,2.0,4.47,4.57,3.21,4.84,3.61,3.41,3.57,4.18,3.89,2.87,3.24,3.25,45.12,22.56
84450,SUN,Xhaka,M,3.0,4.08,5.85,3.64,4.88,3.44,3.27,3.42,3.53,3.09,3.47,2.94,3.26,44.86,14.95
489639,BHA,Verbruggen,G,3.0,3.91,5.89,3.1,4.81,3.47,2.79,3.53,3.29,3.18,4.1,3.06,3.56,44.69,14.9
200617,LEE,James,M,2.5,3.77,4.84,3.56,4.74,3.48,3.49,3.73,3.58,3.67,3.17,3.16,3.4,44.6,17.84
91889,WHU,Füllkrug,F,3.0,4.41,5.28,3.37,5.29,3.41,3.09,2.64,3.63,3.3,3.15,3.79,3.18,44.53,14.84
466525,LEE,Stach,M,2.5,3.67,5.04,3.5,4.71,3.48,3.43,3.62,3.62,3.62,3.36,3.17,3.3,44.53,17.81
172567,BUR,Cullen,M,2.0,3.7,6.97,3.32,5.52,3.17,2.97,3.08,3.4,3.22,2.85,3.29,2.97,44.47,22.23
202641,MUN,Onana,G,3.5,1.76,5.47,4.67,4.36,3.43,3.17,4.57,2.51,3.61,3.56,3.04,4.22,44.36,12.68
462116,WHU,Todibo,D,2.5,4.7,5.01,3.23,5.06,3.27,3.63,2.27,3.18,3.61,3.01,4.66,2.72,44.35,17.74
502500,BRE,Thiago,F,2.5,3.98,5.98,4.36,4.59,3.24,3.21,2.97,3.52,2.95,3.18,3.18,3.16,44.32,17.73
501837,WOL,Mosquera,D,2.5,2.76,5.14,4.06,4.31,4.08,2.99,3.38,4.31,4.65,3.11,2.29,3.18,44.28,17.71
101178,WHU,Ward-Prowse,M,3.0,3.82,6.01,3.23,5.92,3.27,3.05,2.55,3.3,3.23,3.06,3.5,3.01,43.96,14.65
209365,MUN,De Ligt,D,3.5,3.06,5.59,5.04,4.0,2.97,2.95,4.73,1.99,3.27,3.16,2.94,3.98,43.68,12.48
441302,AVL,Maatsen,D,4.0,2.7,2.6,2.91,2.59,5.17,5.08,5.27,4.43,1.97,3.9,2.28,4.67,43.56,10.89
570526,TOT,Bergvall,M,3.0,3.16,2.54,2.8,4.98,4.68,5.07,2.67,4.85,2.55,4.47,2.09,3.59,43.46,14.49
431639,BUR,Flemming,F,2.5,3.94,6.6,3.3,4.38,3.36,2.78,2.97,3.58,3.14,2.69,3.3,3.11,43.13,17.25
486385,EVE,Beto,F,3.0,3.72,6.54,3.21,5.24,2.37,3.31,2.85,2.65,3.46,3.73,3.03,2.67,42.79,14.26
212314,FUL,Lukić,M,3.0,3.34,6.27,2.84,5.58,3.12,2.92,2.98,2.83,2.94,3.18,3.02,3.62,42.65,14.22
232928,EVE,Garner,M,3.0,3.11,5.85,3.06,5.15,2.83,3.36,3.09,2.82,3.44,3.52,3.0,3.05,42.29,14.1
158499,BOU,Christie,M,3.0,3.4,7.14,3.29,5.28,2.97,3.1,3.08,2.73,2.8,2.62,2.71,3.12,42.25,14.08
201595,LEE,Perri,G,2.0,3.36,4.55,3.08,4.69,3.27,3.35,3.21,3.85,3.56,2.77,3.23,3.29,42.22,21.11
209400,CRY,Kamada,M,3.0,2.31,2.54,2.25,2.97,4.69,4.14,4.35,5.17,2.16,4.44,2.36,4.46,41.83,13.94
232653,AVL,J.Ramsey,M,3.5,2.59,2.25,2.36,2.22,4.79,4.55,4.9,4.51,2.25,4.23,2.7,4.44,41.79,11.94
198869,ARS,White,D,4.0,3.54,3.81,1.98,4.34,3.25,3.81,2.57,4.1,2.23,4.87,2.79,4.45,41.75,10.44
87835,WOL,Doherty,D,2.5,2.45,5.86,3.61,4.9,3.63,2.66,2.95,3.87,4.11,2.71,2.11,2.88,41.75,16.7
180736,CHE,Chalobah,D,3.5,3.6,3.39,3.17,4.89,4.24,3.65,1.63,3.82,2.91,3.6,2.22,4.02,41.14,11.75
212319,TOT,Richarlison,F,3.0,3.08,2.0,2.42,4.54,4.43,4.82,2.51,4.75,2.3,4.23,2.17,3.18,40.43,13.48
