fpl_code,team,player,pos,cost,2025-10-18,2025-10-19,2025-10-20,2025-10-24,2025-10-25,2025-10-26,2025-11-01,2025-11-02,2025-11-03,2025-11-08,2025-11-09,2025-11-22,2025-11-23,2025-11-24,2025-11-29,2025-11-30,2025-12-02,2025-12-03,2025-12-04,2025-12-06,2025-12-07,2025-12-08,2025-12-13,2025-12-14,2025-12-15,2025-12-20,2025-12-21,2025-12-22,2025-12-27,total_pts,ppm
244723,CRY,Mitchell,D,7.9,3.68,0.0,0.0,0.0,0.0,2.47,3.67,0.0,0.0,0.0,3.62,3.79,0.0,0.0,0.0,3.65,0.0,4.64,0.0,0.0,3.22,0.0,0.0,2.82,0.0,0.0,3.93,0.0,3.64,39.12,4.95
98980,AVL,Martinez,G,7.5,0.0,3.23,0.0,0.0,0.0,3.48,2.65,0.0,0.0,0.0,4.01,0.0,4.05,0.0,0.0,4.5,0.0,3.19,0.0,3.43,0.0,0.0,0.0,3.64,0.0,0.0,3.9,0.0,2.96,39.04,5.2
437499,CRY,Lacroix,D,7.9,3.67,0.0,0.0,0.0,0.0,2.2,3.78,0.0,0.0,0.0,3.51,3.79,0.0,0.0,0.0,3.58,0.0,4.83,0.0,0.0,3.29,0.0,0.0,2.71,0.0,0.0,3.96,0.0,3.61,38.93,4.93
431248,WOL,Krejčí,D,6.7,5.86,0.0,0.0,0.0,0.0,5.79,3.41,0.0,0.0,2.12,0.0,3.55,0.0,0.0,0.0,2.84,0.0,4.01,0.0,0.0,0.0,3.19,1.78,0.0,0.0,3.56,0.0,0.0,1.59,37.67,5.62
180736,CHE,Chalobah,D,7.1,3.68,0.0,0.0,0.0,5.19,0.0,2.86,0.0,0.0,4.0,0.0,4.18,0.0,0.0,0.0,2.56,0.0,3.39,0.0,2.64,0.0,0.0,3.44,0.0,0.0,2.35,0.0,0.0,3.11,37.4,5.27
221632,TOT,Romero,D,7.1,0.0,4.44,0.0,0.0,0.0,4.94,2.94,0.0,0.0,3.49,0.0,0.0,1.95,0.0,3.64,0.0,2.78,0.0,0.0,3.64,0.0,0.0,0.0,3.87,0.0,2.31,0.0,0.0,3.4,37.39,5.27
17761,EVE,Tarkowski,D,7.7,2.2,0.0,0.0,0.0,0.0,3.67,0.0,0.0,4.83,3.87,0.0,0.0,0.0,3.03,3.3,0.0,2.9,0.0,0.0,4.02,0.0,0.0,2.4,0.0,0.0,0.0,2.76,0.0,4.41,37.38,4.85
180974,NEW,Joelinton,M,7.6,2.65,0.0,0.0,0.0,3.61,0.0,0.0,3.74,0.0,0.0,3.4,3.14,0.0,0.0,3.07,0.0,3.56,0.0,0.0,3.66,0.0,0.0,0.0,3.79,0.0,3.18,0.0,0.0,3.32,37.1,4.88
119471,NEW,Schär,D,8.0,3.05,0.0,0.0,0.0,3.89,0.0,0.0,3.69,0.0,0.0,3.12,2.64,0.0,0.0,3.34,0.0,3.2,0.0,0.0,4.43,0.0,0.0,0.0,3.98,0.0,2.88,0.0,0.0,2.8,37.01,4.63
184254,TOT,Vicario,G,7.2,0.0,3.82,0.0,0.0,0.0,3.62,3.36,0.0,0.0,3.68,0.0,0.0,2.51,0.0,4.01,0.0,2.72,0.0,0.0,3.73,0.0,0.0,0.0,3.61,0.0,2.96,0.0,0.0,2.9,36.91,5.13
